Iteration: 0 	 Loss: 2.29956 	 Accuracy: 10.17766
Iteration: 100 	 Loss: 2.30117 	 Accuracy: 10.17766
Iteration: 200 	 Loss: 2.30320 	 Accuracy: 10.17766
Iteration: 300 	 Loss: 2.30236 	 Accuracy: 9.61929
Iteration: 400 	 Loss: 2.30299 	 Accuracy: 9.61929
Iteration: 500 	 Loss: 2.30198 	 Accuracy: 9.61929
Iteration: 600 	 Loss: 2.30157 	 Accuracy: 11.44670
Iteration: 700 	 Loss: 2.30212 	 Accuracy: 9.34010
Iteration: 800 	 Loss: 2.30159 	 Accuracy: 9.61929
Iteration: 900 	 Loss: 2.30198 	 Accuracy: 9.34010
Iteration: 1000 	 Loss: 2.30101 	 Accuracy: 9.34010
Iteration: 1100 	 Loss: 2.30240 	 Accuracy: 9.34010
Iteration: 1200 	 Loss: 2.30116 	 Accuracy: 9.34010
Iteration: 1300 	 Loss: 2.30138 	 Accuracy: 9.34010
Iteration: 1400 	 Loss: 2.30234 	 Accuracy: 9.34010
Iteration: 1500 	 Loss: 2.30123 	 Accuracy: 9.34010
Iteration: 1600 	 Loss: 2.30260 	 Accuracy: 9.34010
Iteration: 1700 	 Loss: 2.30144 	 Accuracy: 9.34010
Iteration: 1800 	 Loss: 2.30211 	 Accuracy: 9.72081
Iteration: 1900 	 Loss: 2.30303 	 Accuracy: 9.34010
Iteration: 2000 	 Loss: 2.30090 	 Accuracy: 9.34010
Iteration: 2100 	 Loss: 2.29966 	 Accuracy: 9.34010
Iteration: 2200 	 Loss: 2.30058 	 Accuracy: 9.34010
Iteration: 2300 	 Loss: 2.30057 	 Accuracy: 9.87310
Iteration: 2400 	 Loss: 2.30013 	 Accuracy: 9.34010
Iteration: 2500 	 Loss: 2.30100 	 Accuracy: 9.34010
Iteration: 2600 	 Loss: 2.30127 	 Accuracy: 9.34010
Iteration: 2700 	 Loss: 2.30042 	 Accuracy: 9.74619
Iteration: 2800 	 Loss: 2.29996 	 Accuracy: 9.72081
